"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight","up_down"
"PRR4",62.1488961671744,-0.752550990723843,0.152709545785973,-4.92798918921917,8.30802129330189e-07,0.000337656352949921,2.2998803540049,"down"
"GLYATL2",204.227606107033,-1.93829651638818,0.397233421799274,-4.8794900177549,1.06360506260263e-06,0.000293028247597354,3.5232534993216,"down"
"FRMPD4",10.8492603930964,-1.54410883212334,0.319804420750704,-4.82829108021307,1.37709704694269e-06,0.000503714416588331,2.2998803540049,"down"
"POU2F3",578.811101570202,-1.04156461334996,0.21905844177102,-4.75473396473212,1.98707903782014e-06,0.00154374890149944,0.713959235156806,"down"
"LINC01819",11.1627850432385,-1.48921488969952,0.314211698096796,-4.73952720003681,2.14217479012191e-06,0.000912621855875291,1.57971631346626,"down"
"RP4-801G22.2",1.60070224346133,-2.92706243446489,0.624081513935634,-4.69019249746081,2.72948141524333e-06,0.00107395929540469,1.49166121147286,"down"
"MTCO3P12",151.70165087446,-0.983087170315272,0.209839546705361,-4.6849470738499,2.8003228456889e-06,0.000916627033841582,2.02898192040932,"down"
"CT69",35.1198437523814,-1.39307869920995,0.299608161451752,-4.64966872884832,3.32468599598119e-06,0.00094507416938152,2.27180966890904,"down"
"ATOH1",2.07250224205771,-2.96798654028877,0.638624750785105,-4.647465568223,3.36038161923986e-06,0.00094507416938152,2.27180966890904,"down"
"FREM3",6.99539981654457,-1.28083310418928,0.280806507691505,-4.56126574387088,5.08461809221396e-06,0.00167493110072255,1.57971631346626,"down"
"RP11-352E6.2",9.62962341330788,-1.21866716420115,0.267454522054863,-4.55653976174374,5.20031985367048e-06,0.00129820845650741,2.27180966890904,"down"
"SOCS2-AS1",141.752523181683,-0.833434600608897,0.183738279963629,-4.53598782340771,5.73344881503468e-06,0.00139954855015523,2.29753316530199,"down"
"HTR3E",5.34821836244629,-1.91225082326387,0.426278944433704,-4.48591432495973,7.26019129183322e-06,0.00167493110072255,2.2998803540049,"down"
