"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight","up_down"
"BEX1",48.6898574308324,1.51648368328149,0.316660455831678,4.78898976917908,1.67623025712181e-06,0.000369914877202816,3.94931629578788,"up"
"ZNF560",47.4899932769697,2.48039190996028,0.517968430773937,4.78869321486279,1.67870885488468e-06,0.000369914877202816,3.94931629578788,"up"
"F7",25.0200738187432,1.26552752794346,0.264831487483672,4.77861428022788,1.76507431310322e-06,0.000617040063156509,2.29753316530199,"up"
"ASB4",46.9668976413655,1.17670188526839,0.246279601184425,4.77791047090103,1.77126209192509e-06,0.000617040063156509,2.2998803540049,"up"
"RP11-1260E13.1",27.1185462320395,1.60461839937516,0.337145039572104,4.75943054482339,1.94139915961619e-06,0.000655499801985443,2.2998803540049,"up"
"IGFBP1",15.8510686524238,1.65998432093506,0.349466440258831,4.75005359514809,2.03362743937902e-06,0.000669754814426763,2.29753316530199,"up"
"TUFMP1",10.4915346080748,1.77084973971413,0.374327330786585,4.73075192236963,2.23689742765007e-06,0.000730872365540831,2.27180966890904,"up"
"AF186192.6",6.82910743289635,1.43524331119458,0.303879332455826,4.72306984353145,2.32311022537734e-06,0.000748040496313149,2.27180966890904,"up"
"FAM71D",11.0570986470495,0.93151983309293,0.197956151957577,4.70568771862447,2.53011567576807e-06,0.000998050652839035,1.57971631346626,"up"
"FBN3",279.578581194891,1.5041757826147,0.321355984296282,4.68071502047364,2.85876098941228e-06,0.00103325190394104,1.68255731914937,"up"
"KRT40",30.6616749858137,1.51734250952526,0.324531394896467,4.67548759037421,2.93256011275525e-06,0.000904937969576203,2.27180966890904,"up"
"LINC01511",5.02465263357534,1.6422785180767,0.351682868302438,4.66977116628946,3.01535434229748e-06,0.000912621855875291,2.27180966890904,"up"
"DPEP1",143.432107414108,0.99540961477025,0.213380202717824,4.66495767691526,3.08680565032872e-06,0.000912621855875291,2.29753316530199,"up"
"RP11-295K3.1",50.7400440980856,0.870733807452498,0.187016546501882,4.65591854699196,3.2253944075903e-06,0.000669754814426763,3.62801028336934,"up"
"LINC02331",6.52219080779766,1.80877039132112,0.388717488775446,4.65317471827467,3.26863059417797e-06,0.0010053407287007,2.00131310576831,"up"
"PAH",46.2933907861197,1.51883848871933,0.32801314349898,4.63041960001231,3.6492546286209e-06,0.000998050652839035,2.2998803540049,"up"
"RP11-401O9.4",7.33244929559219,1.39408104591761,0.302175200062273,4.61348596982916,3.95971004363956e-06,0.00103502024211845,2.27180966890904,"up"
"TRH",6.00173660387989,1.36274471064231,0.295471617765918,4.61210021099868,3.98620723290698e-06,0.00103502024211845,2.2998803540049,"up"
"WNT10B",99.0863948116962,1.03057913658749,0.224491383050719,4.5907291521949,4.41700214703134e-06,0.000806462134106572,3.94931629578788,"up"
"RP11-616M22.7",12.011656996148,1.49193663820502,0.325562296719379,4.58264563568614,4.59129729664907e-06,0.0011582098305245,2.2998803540049,"up"
"DHRS2",265.968410215721,1.43345290228558,0.313325920803676,4.57495791796862,4.76315717230296e-06,0.00169773112722085,1.43043172647087,"up"
"RP11-793I11.1",3.92404725729309,1.27269344785912,0.278925933601617,4.56283656175506,5.04671008693548e-06,0.00125991203148741,2.29753316530199,"up"
"LINC02418",22.3930288485188,2.77151922759448,0.608564792639726,4.5541892352541,5.25880017068519e-06,0.00094507416938152,3.62801028336934,"up"
"CST6",531.014078745232,1.16123574900181,0.254985135165233,4.55413115846664,5.26025304290213e-06,0.00342652396321723,0.582609483363748,"up"
"ZNF350-AS1",16.2869581606325,0.935998071419797,0.209176262475587,4.47468589572413,7.65237240069898e-06,0.00159658790280951,2.60133713933961,"up"
"RP11-173C1.1",24.5726087320299,1.26890842518304,0.284875507673805,4.45425595041323,8.41846253661614e-06,0.00167493110072255,2.60133713933961,"up"
"TMEM82",9.71093192194759,1.69608618483919,0.381523635634534,4.44555992453347,8.76632397881935e-06,0.00192589255952154,2.29753316530199,"up"
